TWEET,USER_ID,TWEET_ID,TWT_POST_DT,USER_NM,USER_ACCT,FOLLOWER_CNT,FRIENDS_CNT,LOCATION,ACCT_CREATE_DT,GEO_ENABLED,USER_URL,RETWEET_CNT,COMPSENTIMENT,POSSENTIMENT,NEGSENTIMENT,NEUSENTIMENT,SENTIMENT_OA,POSCNT,NEGCNT,BLOBPOL,BLOBSUB,COORDINATES,VERIFIED_USER,TOTAL POSTS,IS REPLY,REPLY TO,HASHTAGS
"We cannot keep with the Republican talking points on this (healthcare).
-- Kamala Harris
#DemDebate #DemocraticDebate",55710693,1156727912558518272,08/01/2019 00:46,Esme Grubb,Esmegrubb,23,22,,07/11/2009 00:34,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,10114,,,"['DemDebate', 'DemocraticDebate']"
"Dang I like Harris, but did she really try to pass of that ""republican talking point"" line that Warren said last night as her own? #DemDebate",850945624275013632,1156727912499826689,08/01/2019 00:46,Julia McGinnis,Juliam05317,33,328,"Phoenix, AZ",04/09/2017 05:37,True,,0,0.1901,0.068,0.0,0.932,Positive,1,0,26.666666666666668,42.22222222222222,,False,211,,,
"#DemDebate2
DeBlasio is hated by New Yorkers!",1713730285,1156727912822902785,08/01/2019 00:46,leservale,lesservale,690,627,New York City,08/30/2013 20:49,True,,0,-0.6696,0.0,0.428,0.572,Negative,0,1,-36.477272727272734,57.72727272727273,,False,4472,,,['DemDebate2']
More yang and deblasio(sp?) pls #DemDebate #tytlive,16332783,1156727913108201477,08/01/2019 00:46,ruby 3x3 when?,ruby3x3,287,915,Earth,09/17/2008 17:22,False,https://www.google.com,0,0.0772,0.178,0.0,0.822,Positive,1,0,50.0,50.0,,False,21347,,,"['DemDebate', 'tytlive']"
Wow. I feel a little better after this confession by @mikiebarb #DemDebate2,1112581857760215040,1156727913053655040,08/01/2019 00:46,Zamone “Z” Perez,zamoneperez,95,294,Quad Cities & Greater Chicago,04/01/2019 05:06,False,,0,0.7512,0.445,0.0,0.555,Positive,1,0,13.749999999999998,66.66666666666666,,False,665,,,['DemDebate2']
Very simple. #notonecandidateisintetrsting #DemDebate2 #liars #hypocrites #Trump2020 #KAG2020,2882149385,1156727913246527489,08/01/2019 00:46,tee ruso,rufrus54,0,6,United States,11/18/2014 03:47,False,https://ebay.com/usr/aafr8137-hinm1fy,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,46.42857142857143,,False,37,,,"['notonecandidateisintetrsting', 'DemDebate2', 'liars', 'hypocrites', 'Trump2020', 'KAG2020']"
Gov Jay Inslee is also the ONLY candidate who has placed climate change at the center of his campaign - and it is THE MOST IMPORTANT ISSUE IN THE HISTORY OF OUR SPECIES. #DemDebate #demdebates2 #DemDebates #DemocraticDebate,1102733408071892993,1156727913418383360,08/01/2019 00:46,Politickin' With Eddie,PolitickinEddie,31,12,,03/05/2019 00:51,False,http://politickinwitheddie.com,0,0.5513,0.092,0.0,0.908,Positive,1,0,20.0,65.0,,False,202,1156719926465323009,PolitickinEddie,
"This is like the Kamala + Joe Show, with the others treated as stage decorations.
Worst debate format I've ever seen. Surprised Castro, Wang + others not objecting strongly. #demdebate #cnn",95730621,1156727913502380035,08/01/2019 00:46,"Kevin O'Higgins, S.J.",kevinohigginssj,1426,390,Dublin,12/09/2009 20:58,False,,0,-0.3641,0.125,0.167,0.708,Negative,0,1,-15.555555555555559,87.77777777777777,,False,1332,,,
can I get a public option for the medical treatment I’ll need after watching this debate? #DemDebate2,316511611,1156727914143944709,08/01/2019 00:46,"Russell ""Board Man"" Hainline",RussellHFilm,10157,526,"Los Angeles, CA",06/13/2011 15:21,False,http://www.russellhainline.com,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,3.3333333333333335,,False,21189,,,['DemDebate2']
This is good news,179397636,1156727914416758785,08/01/2019 00:46,Big Evil Corporation,BigEvilCorpPR,356,348,Undisclosed,08/17/2010 05:19,False,http://bigevilcorporation.blogspot.com/,0,0.4404,0.492,0.0,0.508,Positive,1,0,70.0,60.00000000000001,,False,1499,,,
Is it me or does Micheal Bennett sound like Mr. Mackey from South Park??? #DemDebate2,704043559234748417,1156727915754807297,08/01/2019 00:46,Dan,donielsmith,117,139,"Georgia, USA",02/28/2016 20:40,True,,0,0.466,0.178,0.0,0.822,Positive,1,0,40.0,40.0,,False,407,,,['DemDebate2']
"Damn, @AndrewYang bringing the substance. #DemDebate",18852595,1156727915809144832,08/01/2019 00:46,Jeff Weitzel,jeff_weitzel,227,374,"San Francisco, Ca",01/11/2009 00:58,True,,0,-0.4019,0.0,0.351,0.649,Negative,0,1,0.0,0.0,,False,1770,,,['DemDebate']
Public option saves families money if healthcare + pharma prices are brought inline with the rest of the west #DemDebate,636609914,1156727915901542405,08/01/2019 00:46,Van Damn,vrichmd,34,580,"Ormond Beach, FL",07/16/2012 01:46,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,6.666666666666667,,False,1190,,,['DemDebate']
Yang speaking such Truth!! #DemDebate,4151388124,1156727916144803840,08/01/2019 00:46,Sacha Sharp,sachshar08,155,232,"Indianapolis, IN",11/09/2015 19:37,False,,0,0.4374,0.419,0.0,0.581,Positive,1,0,0.0,50.0,,False,923,1156726424646168581,sachshar08,['DemDebate']
"“Senator Harris is my friend as well.” You do you, Michael Bennet. #DemDebate2",854546191350190080,1156727916836851713,08/01/2019 00:46,Gabe Borelli,GabeBorelli,108,206,,04/19/2017 04:04,True,,0,0.4939,0.211,0.0,0.789,Positive,1,0,0.0,0.0,,False,577,,,['DemDebate2']
What the fuck? How ‘bout a question about #PoliceBrutality @CNN? #DemDebate,575111574,1156727916694310913,08/01/2019 00:46,Nicole L. Mark,nicolemark_,1278,1772,"Tampa, FL ",05/09/2012 04:02,True,,0,-0.594,0.0,0.3,0.7,Negative,0,1,-40.0,60.0,,False,25673,,,"['PoliceBrutality', 'DemDebate']"
"Wait Yang supports M4A? Lmao nevermind, he almost had me. #DemDebate",1096242369484197889,1156727917071781888,08/01/2019 00:46,im literally a fucking velociraptor,staurtlittlewho,3,11,,02/15/2019 02:58,False,,0,0.7506,0.416,0.0,0.584,Positive,1,0,60.0,100.0,,False,190,,,['DemDebate']
NYC mayor can’t understand any of these candidates  #DemDebate,48358291,1156727917130526721,08/01/2019 00:46,Chris Barton,oklamediacritic,1197,3149,"Tulsa, Oklahoma, USA",06/18/2009 14:03,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,15425,,,['DemDebate']
Andrew got it right as well  #DemDebate,337116741,1156727917197443072,08/01/2019 00:46,Palle G Jensen,Palle_Gravesen,58,102,"Santa Monica,  CA",07/17/2011 13:43,False,http://www.libracabletechnologies.com,0,0.2732,0.259,0.0,0.741,Positive,1,0,28.57142857142857,53.57142857142857,,False,93,,,['DemDebate']
#NewBluehand #Bluehand Senator Harris’ Medicare for All plan still gets rid of employer-sponsored coverage and still costs 30x more than Joe Biden’s health care plan. Just changing the start date by 6 years doesn’t change the fact it is bad policy. #DemDebate …,802954064048902148,1156727917243699202,08/01/2019 00:46,Wise Democratic Owls,DemocratWiseOwl,652,751,"New York, NY",11/27/2016 19:15,False,,0,-0.0772,0.07,0.077,0.853,Negative,0,1,-9.999999999999993,58.33333333333333,,False,22590,,,"['NewBluehand', 'Bluehand']"
I am already tired of tweeting about this snoozefest #DemDebate,1473360739,1156727917533114368,08/01/2019 00:46,tim,franglophonic,2531,864,,05/31/2013 23:36,False,,0,-0.4404,0.0,0.266,0.734,Negative,0,1,-40.0,70.0,,False,165,1156726650987565061,franglophonic,['DemDebate']
"I've discovered that ""we got to stop with the Republican talking points"" statement is the new ""you're racist"" for dem candidates. They cant shut down their same party candidates the same way they shut others down with the ""you're racist"" statement.
#DemDebate #DemDebate2 #PartB",369181340,1156727917486977024,08/01/2019 00:46,BOSSY Kat MC,katzeye75,3136,3714,"Your Six, TX USA #IWalkByFaith",09/06/2011 22:33,False,,0,-0.8176,0.051,0.193,0.756,Negative,0,1,-3.4949494949494966,25.646464646464644,,False,49573,,,
